country,year,gender,employment_type,economic_activity,employees_thousands,data_quality,data_source,indicator
Angola,2025,Female,Nature of job: Persons with informal main job,Economic activity (Aggregate): Agriculture,30.765,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Female,Nature of job: Persons with informal main job,Economic activity (Aggregate): Manufacturing,33.029,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Female,Nature of job: Persons with informal main job,Economic activity (Aggregate): Construction,4.215,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Female,Nature of job: Persons with informal main job,"Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply",9.565,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Female,Nature of job: Persons with informal main job,"Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services",223.156,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Female,Nature of job: Persons with informal main job,"Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities",793.693,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Female,Nature of job: Persons with formal main job,Economic activity (Aggregate): Total,158.959,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Female,Nature of job: Persons with formal main job,Economic activity (Aggregate): Agriculture,2.235,Unreliable,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Female,Nature of job: Persons with formal main job,Economic activity (Aggregate): Manufacturing,7.097,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Female,Nature of job: Persons with formal main job,Economic activity (Aggregate): Construction,7.431,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Female,Nature of job: Persons with formal main job,"Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply",5.616,Unreliable,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Female,Nature of job: Persons with formal main job,"Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services",94.612,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Female,Nature of job: Persons with formal main job,"Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities",41.968,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Total,Economic activity (ISIC-Rev.4): Total,3788.156,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Total,Economic activity (ISIC-Rev.4): A. Agriculture; forestry and fishing,167.637,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Total,Economic activity (ISIC-Rev.4): B. Mining and quarrying,144.027,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Total,Economic activity (ISIC-Rev.4): C. Manufacturing,224.483,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Total,"Economic activity (ISIC-Rev.4): D. Electricity; gas, steam and air conditioning supply",23.42,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Total,"Economic activity (ISIC-Rev.4): E. Water supply; sewerage, waste management and remediation activities",19.43,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Total,Economic activity (ISIC-Rev.4): F. Construction,235.111,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Total,Economic activity (ISIC-Rev.4): G. Wholesale and retail trade; repair of motor vehicles and motorcycles,455.065,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Total,Economic activity (ISIC-Rev.4): H. Transportation and storage,316.438,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Total,Economic activity (ISIC-Rev.4): I. Accommodation and food service activities,116.152,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Total,Economic activity (ISIC-Rev.4): J. Information and communication,42.348,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Total,Economic activity (ISIC-Rev.4): K. Financial and insurance activities,50.77,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Total,Economic activity (ISIC-Rev.4): L. Real estate activities,6.242,Unreliable,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Total,"Economic activity (ISIC-Rev.4): M. Professional, scientific and technical activities",31.243,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Total,Economic activity (ISIC-Rev.4): N. Administrative and support service activities,316.441,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Total,Economic activity (ISIC-Rev.4): O. Public administration and defence; compulsory social security,564.561,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Total,Economic activity (ISIC-Rev.4): P. Education,391.615,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Total,Economic activity (ISIC-Rev.4): Q. Human health and social work activities,141.657,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Total,"Economic activity (ISIC-Rev.4): R. Arts, entertainment and recreation",18.897,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Total,Economic activity (ISIC-Rev.4): S. Other service activities,57.449,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Total,Economic activity (ISIC-Rev.4): T. Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,464.964,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Persons with informal main job,Economic activity (ISIC-Rev.4): Total,3191.265,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Persons with informal main job,Economic activity (ISIC-Rev.4): A. Agriculture; forestry and fishing,155.956,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Persons with informal main job,Economic activity (ISIC-Rev.4): B. Mining and quarrying,73.769,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Persons with informal main job,Economic activity (ISIC-Rev.4): C. Manufacturing,176.625,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Persons with informal main job,"Economic activity (ISIC-Rev.4): D. Electricity; gas, steam and air conditioning supply",20.674,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Persons with informal main job,"Economic activity (ISIC-Rev.4): E. Water supply; sewerage, waste management and remediation activities",14.041,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Persons with informal main job,Economic activity (ISIC-Rev.4): F. Construction,174.126,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Persons with informal main job,Economic activity (ISIC-Rev.4): G. Wholesale and retail trade; repair of motor vehicles and motorcycles,368.681,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Persons with informal main job,Economic activity (ISIC-Rev.4): H. Transportation and storage,298.521,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Persons with informal main job,Economic activity (ISIC-Rev.4): I. Accommodation and food service activities,90.961,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Persons with informal main job,Economic activity (ISIC-Rev.4): J. Information and communication,22.703,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Persons with informal main job,Economic activity (ISIC-Rev.4): K. Financial and insurance activities,20.389,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Persons with informal main job,"Economic activity (ISIC-Rev.4): M. Professional, scientific and technical activities",14.834,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Persons with informal main job,Economic activity (ISIC-Rev.4): N. Administrative and support service activities,199.132,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Persons with informal main job,Economic activity (ISIC-Rev.4): O. Public administration and defence; compulsory social security,551.684,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Persons with informal main job,Economic activity (ISIC-Rev.4): P. Education,351.719,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Persons with informal main job,Economic activity (ISIC-Rev.4): Q. Human health and social work activities,120.228,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Persons with informal main job,"Economic activity (ISIC-Rev.4): R. Arts, entertainment and recreation",16.477,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Persons with informal main job,Economic activity (ISIC-Rev.4): S. Other service activities,57.079,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Persons with informal main job,Economic activity (ISIC-Rev.4): T. Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,462.313,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
Angola,2025,Total,Nature of job: Persons with formal main job,Economic activity (ISIC-Rev.4): Total,596.891,Normal,LFS - Employment Survey,"Employees by sex, informal/formal job and economic activity (thousands)"
