ref_area,ref_area.label,source,source.label,indicator,indicator.label,sex,sex.label,classif1,classif1.label,classif2,classif2.label,time,obs_value,obs_status,obs_status.label,note_classif,note_classif.label,note_indicator,note_indicator.label,note_source,note_source.label
AGO,Angola,BA:13951,LFS - Employment Survey,EES_TEES_SEX_IFL_ECO_NB,"Employees by sex, informal/formal job and economic activity (thousands)",SEX_F,Female,IFL_NATURE_INFORMAL,Nature of job: Persons with informal main job,ECO_SECTOR_IND,Economic activity (Broad sector): Industry,2025,46.809,,,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AGO,Angola,BA:13951,LFS - Employment Survey,EES_TEES_SEX_IFL_ECO_NB,"Employees by sex, informal/formal job and economic activity (thousands)",SEX_F,Female,IFL_NATURE_INFORMAL,Nature of job: Persons with informal main job,ECO_SECTOR_SER,Economic activity (Broad sector): Services,2025,1016.849,,,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AGO,Angola,BA:13951,LFS - Employment Survey,EES_TEES_SEX_IFL_ECO_NB,"Employees by sex, informal/formal job and economic activity (thousands)",SEX_F,Female,IFL_NATURE_FORMAL,Nature of job: Persons with formal main job,ECO_SECTOR_TOTAL,Economic activity (Broad sector): Total,2025,158.959,,,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AGO,Angola,BA:13951,LFS - Employment Survey,EES_TEES_SEX_IFL_ECO_NB,"Employees by sex, informal/formal job and economic activity (thousands)",SEX_F,Female,IFL_NATURE_FORMAL,Nature of job: Persons with formal main job,ECO_SECTOR_AGR,Economic activity (Broad sector): Agriculture,2025,2.235,U,Unreliable,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AGO,Angola,BA:13951,LFS - Employment Survey,EES_TEES_SEX_IFL_ECO_NB,"Employees by sex, informal/formal job and economic activity (thousands)",SEX_F,Female,IFL_NATURE_FORMAL,Nature of job: Persons with formal main job,ECO_SECTOR_NAG,Economic activity (Broad sector): Non-agriculture,2025,156.724,,,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AGO,Angola,BA:13951,LFS - Employment Survey,EES_TEES_SEX_IFL_ECO_NB,"Employees by sex, informal/formal job and economic activity (thousands)",SEX_F,Female,IFL_NATURE_FORMAL,Nature of job: Persons with formal main job,ECO_SECTOR_IND,Economic activity (Broad sector): Industry,2025,20.144,,,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AGO,Angola,BA:13951,LFS - Employment Survey,EES_TEES_SEX_IFL_ECO_NB,"Employees by sex, informal/formal job and economic activity (thousands)",SEX_F,Female,IFL_NATURE_FORMAL,Nature of job: Persons with formal main job,ECO_SECTOR_SER,Economic activity (Broad sector): Services,2025,136.58,,,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AGO,Angola,BA:13951,LFS - Employment Survey,EES_TEES_SEX_IFL_ECO_NB,"Employees by sex, informal/formal job and economic activity (thousands)",SEX_T,Total,IFL_NATURE_TOTAL,Nature of job: Total,ECO_AGGREGATE_TOTAL,Economic activity (Aggregate): Total,2025,3788.156,,,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AGO,Angola,BA:13951,LFS - Employment Survey,EES_TEES_SEX_IFL_ECO_NB,"Employees by sex, informal/formal job and economic activity (thousands)",SEX_T,Total,IFL_NATURE_TOTAL,Nature of job: Total,ECO_AGGREGATE_AGR,Economic activity (Aggregate): Agriculture,2025,167.637,,,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AGO,Angola,BA:13951,LFS - Employment Survey,EES_TEES_SEX_IFL_ECO_NB,"Employees by sex, informal/formal job and economic activity (thousands)",SEX_T,Total,IFL_NATURE_TOTAL,Nature of job: Total,ECO_AGGREGATE_MAN,Economic activity (Aggregate): Manufacturing,2025,224.483,,,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AGO,Angola,BA:13951,LFS - Employment Survey,EES_TEES_SEX_IFL_ECO_NB,"Employees by sex, informal/formal job and economic activity (thousands)",SEX_T,Total,IFL_NATURE_TOTAL,Nature of job: Total,ECO_AGGREGATE_CON,Economic activity (Aggregate): Construction,2025,235.111,,,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AGO,Angola,BA:13951,LFS - Employment Survey,EES_TEES_SEX_IFL_ECO_NB,"Employees by sex, informal/formal job and economic activity (thousands)",SEX_T,Total,IFL_NATURE_TOTAL,Nature of job: Total,ECO_AGGREGATE_MEL,"Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply",2025,186.877,,,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AGO,Angola,BA:13951,LFS - Employment Survey,EES_TEES_SEX_IFL_ECO_NB,"Employees by sex, informal/formal job and economic activity (thousands)",SEX_T,Total,IFL_NATURE_TOTAL,Nature of job: Total,ECO_AGGREGATE_MKT,"Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services",2025,1334.699,,,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AGO,Angola,BA:13951,LFS - Employment Survey,EES_TEES_SEX_IFL_ECO_NB,"Employees by sex, informal/formal job and economic activity (thousands)",SEX_T,Total,IFL_NATURE_TOTAL,Nature of job: Total,ECO_AGGREGATE_PUB,"Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities",2025,1639.349,,,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AGO,Angola,BA:13951,LFS - Employment Survey,EES_TEES_SEX_IFL_ECO_NB,"Employees by sex, informal/formal job and economic activity (thousands)",SEX_T,Total,IFL_NATURE_INFORMAL,Nature of job: Persons with informal main job,ECO_AGGREGATE_TOTAL,Economic activity (Aggregate): Total,2025,3191.265,,,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AGO,Angola,BA:13951,LFS - Employment Survey,EES_TEES_SEX_IFL_ECO_NB,"Employees by sex, informal/formal job and economic activity (thousands)",SEX_T,Total,IFL_NATURE_INFORMAL,Nature of job: Persons with informal main job,ECO_AGGREGATE_AGR,Economic activity (Aggregate): Agriculture,2025,155.956,,,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AGO,Angola,BA:13951,LFS - Employment Survey,EES_TEES_SEX_IFL_ECO_NB,"Employees by sex, informal/formal job and economic activity (thousands)",SEX_T,Total,IFL_NATURE_INFORMAL,Nature of job: Persons with informal main job,ECO_AGGREGATE_MAN,Economic activity (Aggregate): Manufacturing,2025,176.625,,,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AGO,Angola,BA:13951,LFS - Employment Survey,EES_TEES_SEX_IFL_ECO_NB,"Employees by sex, informal/formal job and economic activity (thousands)",SEX_T,Total,IFL_NATURE_INFORMAL,Nature of job: Persons with informal main job,ECO_AGGREGATE_CON,Economic activity (Aggregate): Construction,2025,174.126,,,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AGO,Angola,BA:13951,LFS - Employment Survey,EES_TEES_SEX_IFL_ECO_NB,"Employees by sex, informal/formal job and economic activity (thousands)",SEX_T,Total,IFL_NATURE_INFORMAL,Nature of job: Persons with informal main job,ECO_AGGREGATE_MEL,"Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply",2025,108.483,,,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AGO,Angola,BA:13951,LFS - Employment Survey,EES_TEES_SEX_IFL_ECO_NB,"Employees by sex, informal/formal job and economic activity (thousands)",SEX_T,Total,IFL_NATURE_INFORMAL,Nature of job: Persons with informal main job,ECO_AGGREGATE_MKT,"Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services",2025,1016.367,,,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AGO,Angola,BA:13951,LFS - Employment Survey,EES_TEES_SEX_IFL_ECO_NB,"Employees by sex, informal/formal job and economic activity (thousands)",SEX_T,Total,IFL_NATURE_INFORMAL,Nature of job: Persons with informal main job,ECO_AGGREGATE_PUB,"Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities",2025,1559.707,,,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AGO,Angola,BA:13951,LFS - Employment Survey,EES_TEES_SEX_IFL_ECO_NB,"Employees by sex, informal/formal job and economic activity (thousands)",SEX_T,Total,IFL_NATURE_FORMAL,Nature of job: Persons with formal main job,ECO_AGGREGATE_TOTAL,Economic activity (Aggregate): Total,2025,596.891,,,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AGO,Angola,BA:13951,LFS - Employment Survey,EES_TEES_SEX_IFL_ECO_NB,"Employees by sex, informal/formal job and economic activity (thousands)",SEX_T,Total,IFL_NATURE_FORMAL,Nature of job: Persons with formal main job,ECO_AGGREGATE_AGR,Economic activity (Aggregate): Agriculture,2025,11.681,,,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AGO,Angola,BA:13951,LFS - Employment Survey,EES_TEES_SEX_IFL_ECO_NB,"Employees by sex, informal/formal job and economic activity (thousands)",SEX_T,Total,IFL_NATURE_FORMAL,Nature of job: Persons with formal main job,ECO_AGGREGATE_MAN,Economic activity (Aggregate): Manufacturing,2025,47.858,,,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AGO,Angola,BA:13951,LFS - Employment Survey,EES_TEES_SEX_IFL_ECO_NB,"Employees by sex, informal/formal job and economic activity (thousands)",SEX_T,Total,IFL_NATURE_FORMAL,Nature of job: Persons with formal main job,ECO_AGGREGATE_CON,Economic activity (Aggregate): Construction,2025,60.985,,,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AGO,Angola,BA:13951,LFS - Employment Survey,EES_TEES_SEX_IFL_ECO_NB,"Employees by sex, informal/formal job and economic activity (thousands)",SEX_T,Total,IFL_NATURE_FORMAL,Nature of job: Persons with formal main job,ECO_AGGREGATE_MEL,"Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply",2025,78.394,,,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AGO,Angola,BA:13951,LFS - Employment Survey,EES_TEES_SEX_IFL_ECO_NB,"Employees by sex, informal/formal job and economic activity (thousands)",SEX_T,Total,IFL_NATURE_FORMAL,Nature of job: Persons with formal main job,ECO_AGGREGATE_MKT,"Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services",2025,318.332,,,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AGO,Angola,BA:13951,LFS - Employment Survey,EES_TEES_SEX_IFL_ECO_NB,"Employees by sex, informal/formal job and economic activity (thousands)",SEX_T,Total,IFL_NATURE_FORMAL,Nature of job: Persons with formal main job,ECO_AGGREGATE_PUB,"Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities",2025,79.642,,,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AGO,Angola,BA:13951,LFS - Employment Survey,EES_TEES_SEX_IFL_ECO_NB,"Employees by sex, informal/formal job and economic activity (thousands)",SEX_M,Male,IFL_NATURE_TOTAL,Nature of job: Total,ECO_AGGREGATE_TOTAL,Economic activity (Aggregate): Total,2025,2534.774,,,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AGO,Angola,BA:13951,LFS - Employment Survey,EES_TEES_SEX_IFL_ECO_NB,"Employees by sex, informal/formal job and economic activity (thousands)",SEX_M,Male,IFL_NATURE_TOTAL,Nature of job: Total,ECO_AGGREGATE_AGR,Economic activity (Aggregate): Agriculture,2025,134.637,,,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AGO,Angola,BA:13951,LFS - Employment Survey,EES_TEES_SEX_IFL_ECO_NB,"Employees by sex, informal/formal job and economic activity (thousands)",SEX_M,Male,IFL_NATURE_TOTAL,Nature of job: Total,ECO_AGGREGATE_MAN,Economic activity (Aggregate): Manufacturing,2025,184.357,,,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AGO,Angola,BA:13951,LFS - Employment Survey,EES_TEES_SEX_IFL_ECO_NB,"Employees by sex, informal/formal job and economic activity (thousands)",SEX_M,Male,IFL_NATURE_TOTAL,Nature of job: Total,ECO_AGGREGATE_CON,Economic activity (Aggregate): Construction,2025,223.465,,,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AGO,Angola,BA:13951,LFS - Employment Survey,EES_TEES_SEX_IFL_ECO_NB,"Employees by sex, informal/formal job and economic activity (thousands)",SEX_M,Male,IFL_NATURE_TOTAL,Nature of job: Total,ECO_AGGREGATE_MEL,"Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply",2025,171.696,,,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AGO,Angola,BA:13951,LFS - Employment Survey,EES_TEES_SEX_IFL_ECO_NB,"Employees by sex, informal/formal job and economic activity (thousands)",SEX_M,Male,IFL_NATURE_TOTAL,Nature of job: Total,ECO_AGGREGATE_MKT,"Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services",2025,1016.932,,,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
AGO,Angola,BA:13951,LFS - Employment Survey,EES_TEES_SEX_IFL_ECO_NB,"Employees by sex, informal/formal job and economic activity (thousands)",SEX_M,Male,IFL_NATURE_TOTAL,Nature of job: Total,ECO_AGGREGATE_PUB,"Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities",2025,803.688,,,,,,,R1:3513,Repository: ILO-STATISTICS - Micro data processing
